x1,x2,x3,x4,x5,x6,x7,x8
12004,18678,1330484,11152545,2959027,2878473,349730,433360
12549,19964,1436406,13767475,3555816,3250326,409725,479698
13286,21057,1568267,16320762,3870207,3316894,522331,540075
14122,23157,1603966,18895479,4263898,3457617,601220,613161
14693,23839,1718007,21627825,4194806,3522168,680647,650119
17585,27845,1939100,25453413,4770315,3712961,859141,793520
20601,30782,2012633,29787941,5080846,3777003,853315,892678
24801,33021,2145067,35118425,5567893,3783416,1020793,1027971
29200,38949,2228495,41646681,7038031,5041090,1166412,1235374
33114,42359,2553936,48903250,7634024,5398216,1516500,1279793
36983,43921,2878166,55607710,8173449,5246903,1476434,1516049
39696,47296,3573047,65574525,9836582,5727122,1694029,1777343
45448,51107,4363837,76419207,13053605,8116313,1988868,1625593
52697,58875,4564947,86167948,13704511,8626775,2332653,1747616
59142,70815,4725256,99643373,15724289,9969708,2412402,1623520
