,x1,x3,x4,x5,x6,x7,x8,x13
0,3831732,448.19,7571.0,6212.7,6370241,525.71,985.31,5321
1,3913824,549.97,9038.16,7601.73,6467115,618.25,1259.2,6529
2,3928907,686.44,9905.31,8092.82,6560508,638.94,1468.06,7008
3,4282130,802.59,10444.6,8767.98,6664862,656.58,1678.12,7694
4,4453911,904.57,11255.7,9422.33,6741400,758.83,1893.52,8027
5,4548852,1000.69,12018.52,9751.44,6850024,878.26,2139.18,8549
6,4962579,1121.13,13966.53,11349.47,7006896,923.67,2492.74,9566
7,5029338,1248.29,14694.0,11467.35,7125979,978.21,2841.65,10473
8,5070216,1370.68,13380.47,10671.78,7206229,1009.24,3203.96,11469
9,5210706,1494.27,15002.59,11570.58,7251888,1175.17,3758.62,12360
10,5407087,1677.77,16884.16,13120.83,7376720,1348.93,4450.55,14174
11,5744550,1905.84,18287.24,14468.24,7505322,1519.16,5154.23,16394
12,5994973,2199.14,19850.66,15444.93,7607220,1696.38,6081.86,17881
13,6236312,2624.24,22469.22,18951.32,7734787,1863.34,7140.32,20058
14,6529045,3187.39,25316.72,20835.95,7841695,2105.54,8287.38,22114
15,6791495,3615.77,27609.59,22820.89,7946154,2659.85,9138.21,24190
16,7110695,4476.38,30658.49,25011.61,8061370,3263.57,10748.28,29549
17,7431755,5243.03,34438.08,28209.74,8145797,3412.21,12423.44,34214
18,7512997,5977.27,38053.52,30490.44,8222969,3758.39,13551.21,37934
19,7599295,6882.85,42049.14,33156.83,8323096,4454.55,15420.14,41972
