发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141019063917,关,关,关,30°C,0%,0,0分钟,50°C
20141019070154,关,关,关,30°C,0%,0,0分钟,50°C
20141019070156,关,关,关,30°C,0%,8,0分钟,50°C
20141019071230,关,关,关,30°C,0%,0,0分钟,50°C
20141019071236,关,关,关,29°C,0%,0,0分钟,50°C
20141019071602,关,关,关,30°C,0%,0,0分钟,50°C
20141019071608,关,关,关,29°C,0%,0,0分钟,50°C
20141019072005,关,关,关,30°C,0%,0,0分钟,50°C
20141019072010,关,关,关,29°C,0%,0,0分钟,50°C
20141019072153,关,关,关,30°C,0%,0,0分钟,50°C
20141019072159,关,关,关,29°C,0%,0,0分钟,50°C
20141019072217,关,关,关,30°C,0%,0,0分钟,50°C
20141019072219,关,关,关,29°C,0%,0,0分钟,50°C
20141019072226,关,关,关,29°C,0%,0,0分钟,50°C
20141019072354,关,关,关,30°C,0%,0,0分钟,50°C
20141019072400,关,关,关,29°C,0%,0,0分钟,50°C
20141019072757,关,关,关,30°C,0%,0,0分钟,50°C
20141019072803,关,关,关,29°C,0%,0,0分钟,50°C
20141019072827,关,关,关,30°C,0%,0,0分钟,50°C
20141019072833,关,关,关,29°C,0%,0,0分钟,50°C
20141019073010,关,关,关,30°C,0%,0,0分钟,50°C
20141019073016,关,关,关,29°C,0%,0,0分钟,50°C
20141019073046,关,关,关,30°C,0%,0,0分钟,50°C
20141019073052,关,关,关,29°C,0%,0,0分钟,50°C
20141019073116,关,关,关,30°C,0%,0,0分钟,50°C
20141019073123,关,关,关,29°C,0%,0,0分钟,50°C
20141019073129,关,关,关,30°C,0%,0,0分钟,50°C
20141019073135,关,关,关,29°C,0%,0,0分钟,50°C
20141019073207,关,关,关,30°C,0%,0,0分钟,50°C
20141019073213,关,关,关,30°C,0%,0,0分钟,50°C
20141019073225,关,关,关,29°C,0%,0,0分钟,50°C
20141019073231,关,关,关,30°C,0%,0,0分钟,50°C
20141019073237,关,关,关,29°C,0%,0,0分钟,50°C
20141019073249,关,关,关,30°C,0%,0,0分钟,50°C
20141019073302,关,关,关,29°C,0%,0,0分钟,50°C
20141019073314,关,关,关,30°C,0%,0,0分钟,50°C
20141019073320,关,关,关,29°C,0%,0,0分钟,50°C
20141019073326,关,关,关,30°C,0%,0,0分钟,50°C
20141019073338,关,关,关,29°C,0%,0,0分钟,50°C
20141019073350,关,关,关,30°C,0%,0,0分钟,50°C
20141019073411,关,关,关,29°C,0%,0,0分钟,50°C
20141019073426,关,关,关,30°C,0%,0,0分钟,50°C
20141019073438,关,关,关,29°C,0%,0,0分钟,50°C
20141019073457,关,关,关,30°C,0%,0,0分钟,50°C
20141019073521,关,关,关,29°C,0%,0,0分钟,50°C
20141019073539,关,关,关,30°C,0%,0,0分钟,50°C
20141019073551,关,关,关,29°C,0%,0,0分钟,50°C
20141019073621,关,关,关,30°C,0%,0,0分钟,50°C
20141019073640,关,关,关,29°C,0%,0,0分钟,50°C
20141019073658,关,关,关,30°C,0%,0,0分钟,50°C
20141019073704,关,关,关,29°C,0%,0,0分钟,50°C
20141019073710,关,关,关,30°C,0%,0,0分钟,50°C
20141019073716,关,关,关,29°C,0%,0,0分钟,50°C
20141019073752,关,关,关,30°C,0%,0,0分钟,50°C
20141019073758,关,关,关,29°C,0%,0,0分钟,50°C
20141019073814,关,关,关,30°C,0%,0,0分钟,50°C
20141019073816,关,关,关,30°C,0%,8,0分钟,50°C
20141019073835,关,关,关,29°C,0%,0,0分钟,50°C
20141019073923,关,关,关,30°C,0%,0,0分钟,50°C
20141019074000,关,关,关,29°C,0%,0,0分钟,50°C
20141019074018,关,关,关,30°C,0%,0,0分钟,50°C
20141019074030,关,关,关,29°C,0%,0,0分钟,50°C
20141019074100,关,关,关,30°C,0%,0,0分钟,50°C
20141019074149,关,关,关,29°C,0%,0,0分钟,50°C
20141019074231,关,关,关,30°C,0%,0,0分钟,50°C
20141019074237,关,关,关,29°C,0%,0,0分钟,50°C
20141019074301,关,关,关,30°C,0%,0,0分钟,50°C
20141019074307,关,关,关,29°C,0%,0,0分钟,50°C
20141019074325,关,关,关,30°C,0%,0,0分钟,50°C
20141019074338,关,关,关,29°C,0%,0,0分钟,50°C
20141019074344,关,关,关,30°C,0%,0,0分钟,50°C
20141019074350,关,关,关,29°C,0%,0,0分钟,50°C
20141019074450,关,关,关,30°C,0%,0,0分钟,50°C
20141019074502,关,关,关,29°C,0%,0,0分钟,50°C
20141019074508,关,关,关,30°C,0%,0,0分钟,50°C
20141019074533,关,关,关,29°C,0%,0,0分钟,50°C
20141019074615,关,关,关,30°C,0%,0,0分钟,50°C
20141019074633,关,关,关,29°C,0%,0,0分钟,50°C
20141019074639,关,关,关,30°C,0%,0,0分钟,50°C
20141019074657,关,关,关,29°C,0%,0,0分钟,50°C
20141019074710,关,关,关,30°C,0%,0,0分钟,50°C
20141019074716,关,关,关,29°C,0%,0,0分钟,50°C
20141019074728,关,关,关,30°C,0%,0,0分钟,50°C
20141019074734,关,关,关,29°C,0%,0,0分钟,50°C
20141019074752,关,关,关,30°C,0%,0,0分钟,50°C
20141019074810,关,关,关,29°C,0%,0,0分钟,50°C
20141019074822,关,关,关,30°C,0%,0,0分钟,50°C
20141019074834,关,关,关,29°C,0%,0,0分钟,50°C
20141019074840,关,关,关,30°C,0%,0,0分钟,50°C
20141019074847,关,关,关,29°C,0%,0,0分钟,50°C
20141019074859,关,关,关,30°C,0%,0,0分钟,50°C
20141019074905,关,关,关,29°C,0%,0,0分钟,50°C
20141019074929,关,关,关,30°C,0%,0,0分钟,50°C
20141019074941,关,关,关,29°C,0%,0,0分钟,50°C
20141019074959,关,关,关,30°C,0%,0,0分钟,50°C
20141019075005,关,关,关,29°C,0%,0,0分钟,50°C
20141019075225,关,关,关,30°C,0%,0,0分钟,50°C
20141019075231,关,关,关,29°C,0%,0,0分钟,50°C
20141019075237,关,关,关,30°C,0%,0,0分钟,50°C
20141019075243,关,关,关,29°C,0%,0,0分钟,50°C
20141019075301,关,关,关,30°C,0%,0,0分钟,50°C
20141019075313,关,关,关,29°C,0%,0,0分钟,50°C
20141019075319,关,关,关,30°C,0%,0,0分钟,50°C
20141019075325,关,关,关,29°C,0%,0,0分钟,50°C
20141019075426,关,关,关,30°C,0%,0,0分钟,50°C
20141019075502,关,关,关,29°C,0%,0,0分钟,50°C
20141019075514,关,关,关,30°C,0%,0,0分钟,50°C
20141019075520,关,关,关,29°C,0%,0,0分钟,50°C
